b0001	thrL	ECK0001	P0AD86
b2309	hisJ	ECK2303	P0AEU0
b2310	argT	ECK2304	P09551
b2311	ubiX	ECK2305	P0AG03
b2312	purF	ECK2306	P0AG16
b2313	cvpA	ECK2307	P08550
b2314	dedD	ECK2308	P09549
b2315	folC	ECK2309	P08192
b2316	accD	ECK2310	P0A9Q5
b2317	dedA	ECK2311	P0ABP6
b2318	truA	ECK2312	P07649
b2319	usg	ECK2313	P08390
b2320	pdxB	ECK2314	P05459
b2321	flk	ECK2315	P15286
b2322	yfcJ	ECK2316	P77549
b2323	fabB	ECK2317	P0A953
b2324	mnmC	ECK2318	P77182
b2325	yfcL	ECK2319	P64540
b2326	epmC	ECK2320	P76938
b2327	yfcA	ECK2321	P0AD30
b2328	mepA	ECK2322	P0C0T5
b2329	aroC	ECK2323	P12008
b2330	prmB	ECK2324	P39199
b2331	smrB	ECK2325	P0A8B2
b2332	yfcO	ECK2326	P76498
b2333	yfcP	ECK2327	P76499
b2334	yfcQ	ECK2328	P76500
b2335	yfcR	ECK2329	P76501
b2336	yfcS	ECK2330	P77599
b2339	yfcV	ECK2333	P77288
b2340	sixA	ECK2334	P76502
b2341	fadJ	ECK2335	P77399
b2342	fadI	ECK2336	P76503
b2343	yfcZ	ECK2337	P0AD33
b2344	fadL	ECK2338	P10384
b2345	yfdF	ECK2339	P76505
b2346	mlaA	ECK2340	P76506
b2347	yfdC	ECK2341	P37327
b2349	intS	ECK2343	P37326
b2350	gtrA	ECK2344	P77682
b2351	gtrB	ECK2345	P77293
b2352	gtrS	ECK2346	P76507
b2354	yfdK	ECK2348	P77656
b2357	yfdN	ECK2351	P76510
b2359	yfdP	ECK2353	P76512
b2360	yfdQ	ECK2354	P76513
b2361	yfdR	ECK2355	P76514
b2362	yfdS	ECK2356	P76515
b2363	yfdT	ECK2357	P76516
b4501	torI	ECK2359	Q2EES9
b2364	dsdC	ECK2360	P46068
b2365	dsdX	ECK2361	P08555
b2366	dsdA	ECK2362	P00926
b2367	emrY	ECK2363	P52600
b2368	emrK	ECK2364	P52599
b2369	evgA	ECK2365	P0ACZ4
b2370	evgS	ECK2366	P30855
b2371	yfdE	ECK2367	P76518
b2372	yfdV	ECK2368	P0AA49
b2373	oxc	ECK2369	P0AFI0
b2374	frc	ECK2370	P69902
b2375	yfdX	ECK2371	P76520
b2376	ypdI	ECK2372	O32528
b2377	yfdY	ECK2373	P76521
b2378	lpxP	ECK2374	P0ACV2
b4680	ypdK	ECK4495	C1P610
b2379	alaC	ECK2375	P77434
b2380	ypdA	ECK2376	P0AA93
b2381	ypdB	ECK2377	P0AE39
b2382	ypdC	ECK2378	P77396
b2383	fryA	ECK2379	P77439
b2384	ypdE	ECK2380	P77585
b2385	ypdF	ECK2381	P76524
b2386	fryC	ECK2382	P77579
b2387	fryB	ECK2383	P69808
b2388	glk	ECK2384	P0A6V8
b2389	yfeO	ECK2385	P67729
b2390	ypeC	ECK2386	P64542
b2392	mntH	ECK2387	P0A769
b2393	nupC	ECK2388	P0AFF2
b2394	insL1	ECK0016	P0CF93
b2395	yfeA	ECK2389	P23842
b2398	yfeC	ECK2392	P0AD37
b2399	yfeD	ECK2393	P27238
b2400	gltX	ECK2394	P04805
b2405	xapR	ECK2399	P23841
b2406	xapB	ECK2400	P45562
b2407	xapA	ECK2401	P45563
b2408	yfeN	ECK2402	P45564
b2409	yfeR	ECK2403	P0ACR7
b2410	yfeH	ECK2404	P39836
b4546	ypeB	ECK2405	P0AD40
b2411	ligA	ECK2406	P15042
b2412	zipA	ECK2407	P77173
b2413	cysZ	ECK2408	P0A6J3
b2414	cysK	ECK2409	P0ABK5
b2415	ptsH	ECK2410	P0AA04
b2416	ptsI	ECK2411	P08839
b2417	crr	ECK2412	P69783
b2418	pdxK	ECK2413	P40191
b2419	yfeK	ECK2414	Q47702
b2420	yfeS	ECK2415	P78271
b2421	cysM	ECK2416	P16703
b2422	cysA	ECK2417	P16676
b2423	cysW	ECK2418	P0AEB0
b2424	cysU	ECK2419	P16701
b2425	cysP	ECK2420	P16700
b2426	ucpA	ECK2421	P37440
b2427	murR	ECK2422	P77245
b2428	murQ	ECK2423	P76535
b2429	murP	ECK2424	P77272
b2430	yfeW	ECK2425	P77619
b2431	yfeX	ECK2426	P76536
b2432	yfeY	ECK2427	P76537
b2433	yfeZ	ECK2428	P76538
b2434	ypeA	ECK2429	P76539
b2435	amiA	ECK2430	P36548
b2436	hemF	ECK2431	P36553
b2437	eutR	ECK2432	P36547
b2438	eutK	ECK2433	P76540
b2439	eutL	ECK2434	P76541
b2440	eutC	ECK2435	P19636
b2441	eutB	ECK2436	P0AEJ6
b2442	intZ	ECK2437	P76542
b2443	yffL	ECK2438	P76543
b2444	yffM	ECK2439	P76544
b2445	yffN	ECK2440	P76545
b2446	yffO	ECK2441	P76546
b2447	yffP	ECK2442	P76547
b2448	yffQ	ECK2443	P76548
b2449	yffR	ECK2444	P76549
b2450	yffS	ECK2445	P76550
b2451	eutA	ECK2446	P76551
b2452	eutH	ECK2447	P76552
b2453	eutG	ECK2448	P76553
b2454	eutJ	ECK2449	P77277
b2455	eutE	ECK2450	P77445
b2456	eutN	ECK2451	P0AEJ8
b2457	eutM	ECK2452	P0ABF4
b2458	eutD	ECK2453	P77218
b2459	eutT	ECK2454	P65643
b2460	eutQ	ECK2455	P76555
b2461	eutP	ECK2456	P76556
b2462	eutS	ECK2457	P63746
b2463	maeB	ECK2458	P76558
b2464	talA	ECK2459	P0A867
b2465	tktB	ECK2460	P33570
b2466	ypfG	ECK2461	P76559
b2467	nudK	ECK2462	P37128
b2468	aegA	ECK2463	P37127
b2469	narQ	ECK2464	P27896
b2470	acrD	ECK2465	P24177
b4606	ypfM	ECK4415	A5A621
b2471	yffB	ECK2466	P24178
b2472	dapE	ECK2467	P0AED7
b4547	ypfN	ECK2468	Q2EET2
b2473	ypfH	ECK2469	P76561
b2474	tmcA	ECK2470	P76562
b2475	ypfJ	ECK2471	P64429
b2476	purC	ECK2472	P0A7D7
b2477	bamC	ECK2473	P0A903
b2478	dapA	ECK2474	P0A6L2
b2479	gcvR	ECK2475	P0A9I3
b2480	bcp	ECK2476	P0AE52
b2481	hyfA	ECK2477	P23481
b2482	hyfB	ECK2478	P23482
b2483	hyfC	ECK2479	P77858
b2484	hyfD	ECK2480	P77416
b2485	hyfE	ECK2481	P0AEW1
b2486	hyfF	ECK2482	P77437
b2487	hyfG	ECK2483	P77329
b2488	hyfH	ECK2484	P77423
b2489	hyfI	ECK2485	P77668
b2490	hyfJ	ECK2486	P77453
b2491	hyfR	ECK2487	P71229
b2492	focB	ECK2488	P77733
b2493	yfgO	ECK2489	P0AFI9
b2494	bepA	ECK2490	P66948
b2495	yfgD	ECK2491	P76569
b2496	hda	ECK2492	P69931
b2497	uraA	ECK2493	P0AGM7
b2498	upp	ECK2494	P0A8F0
b2499	purM	ECK2495	P08178
b2500	purN	ECK2496	P08179
b2501	ppk	ECK2497	P0A7B1
b2502	ppx	ECK2498	P0AFL6
b2503	yfgF	ECK2499	P77172
b2504	yfgG	ECK2500	P64545
b2505	yfgH	ECK2501	P65290
b2506	yfgI	ECK2502	P76573
b2507	guaA	ECK2503	P04079
b2508	guaB	ECK2504	P0ADG7
b2509	xseA	ECK2505	P04994
b2510	yfgJ	ECK2506	P76575
b2511	der	ECK2507	P0A6P5
b2512	bamB	ECK2508	P77774
b2513	yfgM	ECK2509	P76576
b2514	hisS	ECK2510	P60906
b2515	ispG	ECK2511	P62620
b2516	rodZ	ECK2512	P27434
b2517	rlmN	ECK2513	P36979
b2518	ndk	ECK2514	P0A763
b2519	pbpC	ECK2515	P76577
b2520	yfhM	ECK2516	P76578
b2521	sseA	ECK2517	P31142
b2522	sseB	ECK2519	P0AFZ1
b2523	pepB	ECK2520	P37095
b2524	iscX	ECK2521	P0C0L9
b2525	fdx	ECK2522	P0A9R4
b2526	hscA	ECK2523	P0A6Z1
b2527	hscB	ECK2524	P0A6L9
b2528	iscA	ECK2525	P0AAC8
b2529	iscU	ECK2526	P0ACD4
b2530	iscS	ECK2527	P0A6B7
b2531	iscR	ECK2528	P0AGK8
b2532	trmJ	ECK2529	P0AE01
b2533	suhB	ECK2530	P0ADG4
b2534	yfhR	ECK2531	P77538
b2535	csiE	ECK2532	P54901
b2536	hcaT	ECK2533	Q47142
b2537	hcaR	ECK2534	Q47141
b2538	hcaE	ECK2535	P0ABR5
b2539	hcaF	ECK2536	Q47140
b2540	hcaC	ECK2537	P0ABW0
b2541	hcaB	ECK2538	P0CI31
b2542	hcaD	ECK2539	P77650
b2543	yphA	ECK2540	P0AD47
b2544	yphB	ECK2541	P76584
b2545	yphC	ECK2542	P77360
b2546	yphD	ECK2543	P77315
b2547	yphE	ECK2544	P77509
b2548	yphF	ECK2545	P77269
b2549	yphG	ECK2546	P76585
b2550	yphH	ECK2547	P76586
b2551	glyA	ECK2548	P0A825
b2552	hmp	ECK2549	P24232
b2553	glnB	ECK2550	P0A9Z1
b2554	glrR	ECK2551	P0AFU4
b2555	yfhG	ECK2552	P0AD44
b2556	glrK	ECK2553	P52101
b2557	purL	ECK2555	P15254
b2558	mltF	ECK2556	P0AGC5
b2559	tadA	ECK2557	P68398
b2560	pgpC	ECK2558	P0AD42
b2561	yfhH	ECK2559	P37767
b2562	yfhL	ECK2560	P52102
b4687	shoB	ECK4502	C1P611
b2563	acpS	ECK2561	P24224
b2564	pdxJ	ECK2562	P0A794
b2565	recO	ECK2563	P0A7H3
b2566	era	ECK2564	P06616
b2567	rnc	ECK2565	P0A7Y0
b2568	lepB	ECK2566	P00803
b2569	lepA	ECK2567	P60785
b2570	rseC	ECK2568	P46187
b2571	rseB	ECK2569	P0AFX9
b2572	rseA	ECK2570	P0AFX7
b2573	rpoE	ECK2571	P0AGB6
b2574	nadB	ECK2572	P10902
b2575	trmN	ECK2573	P31825
b2576	srmB	ECK2574	P21507
b2577	yfiE	ECK2575	P33634
b2578	eamB	ECK2576	P38101
b2579	grcA	ECK2577	P68066
b2580	ung	ECK2578	P12295
b2581	yfiF	ECK2579	P0AGJ5
b2582	trxC	ECK2580	P0AGG4
b2583	yfiP	ECK2581	Q47319
b2584	pka	ECK2582	P76594
b2585	pssA	ECK2583	P23830
b2586	yfiM	ECK2584	P46126
b2587	kgtP	ECK2585	P0AEX3
b2592	clpB	ECK2590	P63284
b2593	yfiH	ECK2591	P33644
b2594	rluD	ECK2592	P33643
b2595	bamD	ECK2593	P0AC02
b2597	raiA	ECK2594	P0AD49
b2598	pheL	ECK2595	P0AD72
b2599	pheA	ECK2596	P0A9J8
b2600	tyrA	ECK2597	P07023
b2601	aroF	ECK2598	P00888
b2602	yfiL	ECK2599	P11289
b2603	yfiR	ECK2600	P64548
b2604	yfiN	ECK2601	P46139
b2605	yfiB	ECK2602	P07021
b2606	rplS	ECK2603	P0A7K6
b2607	trmD	ECK2604	P0A873
b2608	rimM	ECK2605	P0A7X6
b2609	rpsP	ECK2606	P0A7T3
b2610	ffh	ECK2607	P0AGD7
b2611	ypjD	ECK2608	P64432
b4461	yfjD	ECK2609	P37908
b2614	grpE	ECK2610	P09372
b2615	nadK	ECK2611	P0A7B3
b2616	recN	ECK2612	P05824
b2617	bamE	ECK2613	P0A937
b2618	ratB	ECK2614	P52119
b2619	ratA	ECK2615	P0AGL5
b2620	smpB	ECK2616	P0A832
b2622	intA	ECK2618	P32053
b2623	yfjH	ECK2619	P52123
b2624	alpA	ECK2620	P33997
b2625	yfjI	ECK2621	P52124
b2626	yfjJ	ECK2622	P52125
b2627	yfjK	ECK2623	P52126
b2628	yfjL	ECK2624	P52127
b2629	yfjM	ECK2625	P52128
b2630	rnlA	ECK2626	P52129
b2631	rnlB	ECK2627	P52130
b2632	yfjP	ECK2628	P52131
b2633	yfjQ	ECK2629	P52132
b2634	yfjR	ECK2630	P52133
b2635	ypjK	ECK2631	P52134
b2636	yfjS	ECK2632	O52982
b2637	yfjT	ECK2633	P52135
b2642	yfjW	ECK2638	P52138
b2643	yfjX	ECK2639	P52139
b2644	yfjY	ECK2640	P52140
b4548	ypjJ	ECK2641	P58033
b2645	yfjZ	ECK2642	P52141
b2646	ypjF	ECK2643	Q46953
b2647	ypjA	ECK2644	P52143
b2659	csiD	ECK2653	P76621
b2660	lhgO	ECK2654	P37339
b2661	gabD	ECK2655	P25526
b2662	gabT	ECK2656	P22256
b2663	gabP	ECK2657	P25527
b2664	csiR	ECK2658	P37338
b2665	ygaU	ECK2659	P0ADE6
b2666	yqaE	ECK2660	P0AE42
b2667	ygaV	ECK2661	P77295
b2668	ygaP	ECK2662	P55734
b2669	stpA	ECK2663	P0ACG1
b2670	alaE	ECK2664	P64550
b2671	ygaC	ECK2665	P0AD53
b2672	ygaM	ECK2666	P0ADQ7
b2673	nrdH	ECK2667	P0AC65
b2674	nrdI	ECK2668	P0A772
b2675	nrdE	ECK2669	P39452
b2676	nrdF	ECK2670	P37146
b2677	proV	ECK2671	P14175
b2678	proW	ECK2672	P14176
b2679	proX	ECK2673	P0AFM2
b2682	ygaZ	ECK2676	P76630
b2683	ygaH	ECK2677	P43667
b2684	mprA	ECK2678	P0ACR9
b2685	emrA	ECK2679	P27303
b2686	emrB	ECK2680	P0AEJ0
b2687	luxS	ECK2681	P45578
b2688	gshA	ECK2683	P0A6W9
b2689	yqaA	ECK2684	P0ADR0
b2690	yqaB	ECK2685	P77475
b2696	csrA	ECK2691	P69913
b2697	alaS	ECK2692	P00957
b2698	recX	ECK2693	P33596
b2699	recA	ECK2694	P0A7G6
b2700	pncC	ECK2695	P0A6G3
b2701	mltB	ECK2696	P41052
b2702	srlA	ECK2697	P56579
b2703	srlE	ECK2698	P56580
b2704	srlB	ECK2699	P05706
b2705	srlD	ECK2700	P05707
b2706	srlM	ECK2701	P15081
b2707	srlR	ECK2702	P15082
b2708	srlQ	ECK2703	P17115
b2709	norR	ECK2704	P37013
b2710	norV	ECK2705	Q46877
b2711	norW	ECK2706	P37596
b2712	hypF	ECK2707	P30131
b2713	hydN	ECK2708	P0AAK4
b2714	ascG	ECK2709	P24242
b2715	ascF	ECK2710	P24241
b2716	ascB	ECK2711	P24240
b2717	hycI	ECK2712	P0AEV9
b2718	hycH	ECK2713	P0AEV7
b2719	hycG	ECK2714	P16433
b2720	hycF	ECK2715	P16432
b2721	hycE	ECK2716	P16431
b2722	hycD	ECK2717	P16430
b2723	hycC	ECK2718	P16429
b2724	hycB	ECK2719	P0AAK1
b2725	hycA	ECK2720	P0AEV4
b2726	hypA	ECK2721	P0A700
b2727	hypB	ECK2722	P0AAN3
b2728	hypC	ECK2723	P0AAM3
b2729	hypD	ECK2724	P24192
b2730	hypE	ECK2725	P24193
b2731	fhlA	ECK2726	P19323
b2732	ygbA	ECK2727	P25728
b2733	mutS	ECK2728	P23909
b2734	pphB	ECK2729	P55799
b2735	ygbI	ECK2730	P52598
b2736	ygbJ	ECK2731	Q46888
b2737	ygbK	ECK2732	Q46889
b2738	ygbL	ECK2733	Q46890
b2739	ygbM	ECK2734	Q46891
b2740	ygbN	ECK2735	Q46892
b2741	rpoS	ECK2736	P13445
b2742	nlpD	ECK2737	P0ADA3
b2743	pcm	ECK2738	P0A7A5
b2744	umpG	ECK2739	P0A840
b2745	truD	ECK2740	Q57261
b2746	ispF	ECK2741	P62617
b2747	ispD	ECK2742	Q46893
b2748	ftsB	ECK2743	P0A6S5
b2749	ygbE	ECK2744	P46141
b2750	cysC	ECK2745	P0A6J1
b2751	cysN	ECK2746	P23845
b2752	cysD	ECK2747	P21156
b2753	iap	ECK2748	P10423
b2754	ygbF	ECK2749	P45956
b2755	ygbT	ECK2750	Q46896
b2756	casE	ECK2751	Q46897
b2757	casD	ECK2752	Q46898
b2758	casC	ECK2753	Q46899
b2759	casB	ECK2754	P76632
b2760	casA	ECK2755	Q46901
b2761	ygcB	ECK2756	P38036
b2762	cysH	ECK2757	P17854
b2763	cysI	ECK2758	P17846
b2764	cysJ	ECK2759	P38038
b2765	queD	ECK2760	P65870
b2766	ygcN	ECK2761	Q46904
b2767	ygcO	ECK2762	Q46905
b2768	ygcP	ECK2763	Q46906
b2769	ygcQ	ECK2764	Q46907
b2770	ygcR	ECK2765	Q46908
b2771	ygcS	ECK2766	Q46909
b4463	ygcU	ECK2767	Q46911
b2774	ygcW	ECK2768	P76633
b2775	yqcE	ECK2769	P77031
b2776	ygcE	ECK2770	P55138
b2777	queE	ECK2771	P64554
b4682	yqcG	ECK4497	C1P612
b2778	ygcG	ECK2772	P55140
b2779	eno	ECK2773	P0A6P9
b2780	pyrG	ECK2774	P0A7E5
b2781	mazG	ECK2775	P0AEY3
b2782	mazF	ECK2776	P0AE70
b2783	mazE	ECK2777	P0AE72
b2784	relA	ECK2778	P0AG20
b2785	rlmD	ECK2779	P55135
b2786	barA	ECK2780	P0AEC5
b2787	gudD	ECK2781	P0AES2
b2788	gudX	ECK2782	Q46915
b2789	gudP	ECK2783	Q46916
b2790	yqcA	ECK2784	P65367
b2791	truC	ECK2785	P0AA41
b2792	yqcC	ECK2786	Q46919
b2793	syd	ECK2788	P0A8U0
b2794	queF	ECK2789	Q46920
b2795	ygdH	ECK2790	P0ADR8
b2796	sdaC	ECK2791	P0AAD6
b2797	sdaB	ECK2792	P30744
b2798	ygdG	ECK2793	P38506
b2799	fucO	ECK2794	P0A9S1
b2800	fucA	ECK2795	P0AB87
b2801	fucP	ECK2796	P11551
b2802	fucI	ECK2797	P69922
b2803	fucK	ECK2798	P11553
b2804	fucU	ECK2799	P0AEN8
b2805	fucR	ECK2800	P0ACK8
b2806	rlmM	ECK2801	P0ADR6
b2807	ygdD	ECK2802	P0ADR2
b2808	gcvA	ECK2803	P0A9F6
b2809	ygdI	ECK2805	P65292
b2810	csdA	ECK2806	Q46925
b2811	csdE	ECK2807	P0AGF2
b2812	tcdA	ECK2808	Q46927
b2813	mltA	ECK2809	P0A935
b2817	amiC	ECK2813	P63883
b2818	argA	ECK2814	P0A6C5
b2819	recD	ECK2815	P04993
b2820	recB	ECK2816	P08394
b2821	ptrA	ECK2817	P05458
b2822	recC	ECK2818	P07648
b2823	ppdC	ECK2819	P08372
b2824	ygdB	ECK2820	P08370
b2825	ppdB	ECK2821	P08371
b2826	ppdA	ECK2822	P33554
b2827	thyA	ECK2823	P0A884
b2828	lgt	ECK2824	P60955
b2829	ptsP	ECK2825	P37177
b2830	rppH	ECK2826	P0A776
b2831	mutH	ECK2827	P06722
b2832	ygdQ	ECK2828	P67127
b2833	ygdR	ECK2829	P65294
b2834	tas	ECK2830	P0A9T4
b2835	lplT	ECK2831	P39196
b2836	aas	ECK2832	P31119
b2837	galR	ECK2835	P03024
b2838	lysA	ECK2836	P00861
b2839	lysR	ECK2837	P03030
b2840	ygeA	ECK2838	P03813
b2841	araE	ECK2839	P0AE24
b2842	kduD	ECK2840	P37769
b2843	kduI	ECK2841	Q46938
b2844	yqeF	ECK2842	Q46939
b2845	yqeG	ECK2843	P63340
b2846	yqeH	ECK2844	Q46941
b2847	yqeI	ECK2845	Q46942
b2848	yqeJ	ECK2846	Q46943
b4683	yqeL	ECK4498	C1P613
b2849	yqeK	ECK2847	P77136
b2851	ygeG	ECK2849	Q46787
b2852	ygeH	ECK2850	P76639
b2853	ygeI	ECK2851	Q46789
b2860	insD1	ECK0358	P0CF56
b2861	insC1	ECK0357	P0CF43
b2865	ygeR	ECK2861	Q46798
b2866	xdhA	ECK2862	Q46799
b2867	xdhB	ECK2863	Q46800
b2868	xdhC	ECK2864	Q46801
b2869	ygeV	ECK2865	Q46802
b2870	ygeW	ECK2866	Q46803
b2871	ygeX	ECK2867	P66899
b2872	ygeY	ECK2868	P65807
b2873	hyuA	ECK2869	Q46806
b2874	yqeA	ECK2870	Q46807
b2875	yqeB	ECK2871	Q46808
b2876	yqeC	ECK2872	Q46809
b2877	mocA	ECK2873	Q46810
b2878	ygfK	ECK2874	Q46811
b2879	ssnA	ECK2875	Q46812
b2880	ygfM	ECK2876	P64557
b2881	xdhD	ECK2877	Q46814
b2882	xanQ	ECK2878	P67444
b2883	guaD	ECK2879	P76641
b4464	ygfQ	ECK2880	Q46817
b2886	ygfS	ECK2881	Q46819
b2887	ygfT	ECK2882	Q46820
b2888	uacT	ECK2883	Q46821
b4684	yqfG	ECK4499	C1P614
b2889	idi	ECK2884	Q46822
b2890	lysS	ECK2885	P0A8N3
b2891	prfB	ECK2886	P07012
b2892	recJ	ECK2887	P21893
b2893	dsbC	ECK2888	P0AEG6
b2894	xerD	ECK2889	P0A8P8
b2895	fldB	ECK2890	P0ABY4
b2896	cptA	ECK2891	Q46824
b2897	sdhE	ECK2892	P64559
b2898	ygfZ	ECK2893	P0ADE8
b2899	yqfA	ECK2894	P67153
b2900	yqfB	ECK2895	P67603
b2901	bglA	ECK2896	Q46829
b2902	ygfF	ECK2897	P52037
b2903	gcvP	ECK2898	P33195
b2904	gcvH	ECK2899	P0A6T9
b2905	gcvT	ECK2900	P27248
b2906	ubiI	ECK2901	P25535
b2907	ubiH	ECK2902	P25534
b2908	pepP	ECK2903	P15034
b2909	ygfB	ECK2904	P0A8C4
b2910	zapA	ECK2905	P0ADS2
b2912	fau	ECK2907	P0AC28
b4665	ibsC	ECK4480	C1P615
b2913	serA	ECK2909	P0A9T0
b2914	rpiA	ECK2910	P0A7Z0
b2916	argP	ECK2912	P0A8S1
b2917	scpA	ECK2913	P27253
b2918	argK	ECK2914	P27254
b2919	scpB	ECK2915	P52045
b2920	scpC	ECK2916	P52043
b2921	ygfI	ECK2917	P52044
b2922	yggE	ECK2918	P0ADS6
b2923	argO	ECK2919	P11667
b2924	mscS	ECK2920	P0C0S1
b2925	fbaA	ECK2921	P0AB71
b2926	pgk	ECK2922	P0A799
b2927	epd	ECK2923	P0A9B6
b2928	yggC	ECK2924	P11664
b2929	yggD	ECK2925	P11663
b2930	yggF	ECK2926	P21437
b4465	yggP	ECK2927	P52048
b2933	cmtA	ECK2928	P69826
b2934	cmtB	ECK2929	P69824
b2935	tktA	ECK2930	P27302
b2936	loiP	ECK2931	P25894
b2937	speB	ECK2932	P60651
b2938	speA	ECK2933	P21170
b2939	yqgB	ECK2934	P64567
b2940	yqgC	ECK2935	P64570
b2942	metK	ECK2937	P0A817
b2943	galP	ECK2938	P0AEP1
b2944	yggI	ECK2939	P39902
b2945	endA	ECK2940	P25736
b2946	rsmE	ECK2941	P0AGL7
b2947	gshB	ECK2942	P04425
b2948	yqgE	ECK2943	P0A8W5
b2949	yqgF	ECK2944	P0A8I1
b2950	yggR	ECK2945	P52052
b2951	yggS	ECK2946	P67080
b2952	yggT	ECK2947	P64564
b2953	yggU	ECK2948	P52060
b2954	rdgB	ECK2949	P52061
b2955	yggW	ECK2950	P52062
b2956	yggM	ECK2951	P46142
b2957	ansB	ECK2952	P00805
b2958	yggN	ECK2953	P0ADS9
b2959	yggL	ECK2954	P38521
b2960	trmI	ECK2955	P0A8I5
b2961	mutY	ECK2956	P17802
b2962	yggX	ECK2957	P0A8P3
b2963	mltC	ECK2958	P0C066
b2964	nupG	ECK2959	P0AFF4
b2965	speC	ECK2960	P21169
b2966	yqgA	ECK2961	Q46831
b2968	yghD	ECK2963	Q46832
b2971	yghG	ECK2966	Q46835
b2972	pppA	ECK2967	Q46836
b4466	yghJ	ECK2968	P0CK95
b2975	glcA	ECK2969	Q46839
b2976	glcB	ECK2970	P37330
b2977	glcG	ECK2971	P0AEQ1
b4467	glcF	ECK2972	P52074
b4468	glcE	ECK2973	P52073
b2979	glcD	ECK2974	P0AEP9
b2980	glcC	ECK2975	P0ACL5
b2982	insH1	ECK0261	P0CE56
b2983	yghQ	ECK2977	Q46841
b2984	yghR	ECK2978	P64572
b2985	yghS	ECK2979	Q46843
b2986	yghT	ECK2980	Q46844
b2987	pitB	ECK2981	P43676
b2988	gss	ECK2982	P0AES0
b2989	yghU	ECK2983	Q46845
b2990	hybG	ECK2984	P0AAM7
b2991	hybF	ECK2985	P0A703
b2992	hybE	ECK2986	P0AAN1
b2993	hybD	ECK2987	P37182
b2994	hybC	ECK2988	P0ACE0
b2995	hybB	ECK2989	P37180
b2996	hybA	ECK2990	P0AAJ8
b2997	hybO	ECK2991	P69741
b2998	yghW	ECK2992	P64574
b3001	gpr	ECK2995	Q46851
b3002	yqhA	ECK2996	P67244
b3003	yghA	ECK2997	P0AG84
b3005	exbD	ECK2998	P0ABV2
b3006	exbB	ECK2999	P0ABU7
b3008	metC	ECK3000	P06721
b3009	yghB	ECK3001	P0AA60
b3010	yqhC	ECK3002	Q46855
b3011	yqhD	ECK3003	Q46856
b3012	dkgA	ECK3004	Q46857
b3013	yqhG	ECK3005	Q46858
b3014	yqhH	ECK3006	P65298
b4469	ygiQ	ECK3007	Q46861
b3017	ftsP	ECK3008	P26648
b3018	plsC	ECK3009	P26647
b3019	parC	ECK3010	P0AFI2
b3020	ygiS	ECK3011	Q46863
b3021	mqsA	ECK3012	Q46864
b3022	mqsR	ECK3013	Q46865
b3023	ygiV	ECK3014	Q46866
b3024	ygiW	ECK3015	P0ADU5
b3025	qseB	ECK3016	P52076
b3026	qseC	ECK3017	P40719
b3027	ygiZ	ECK3018	Q46867
b3028	mdaB	ECK3019	P0AEY5
b3029	ygiN	ECK3020	P0ADU2
b3030	parE	ECK3021	P20083
b3031	yqiA	ECK3022	P0A8Z7
b3032	cpdA	ECK3023	P0AEW4
b3033	yqiB	ECK3024	P0ADU7
b3034	nudF	ECK3025	Q93K97
b3035	tolC	ECK3026	P02930
b3037	ygiB	ECK3028	P0ADT2
b3038	ygiC	ECK3029	P0ADT5
b3039	ygiD	ECK3030	P24197
b3040	zupT	ECK3031	P0A8H3
b3041	ribB	ECK3032	P0A7J0
b3042	yqiC	ECK3033	Q46868
b3043	ygiL	ECK3034	P39834
b3044	insC1	ECK0357	P0CF44
b3045	insD1	ECK0358	P0CF57
b3047	yqiH	ECK3036	P77616
b3048	yqiI	ECK3037	P76656
b3049	glgS	ECK3038	P26649
b3050	yqiJ	ECK3039	P76657
b3051	yqiK	ECK3040	P77306
b4664	ibsD	ECK4479	C1P616
b4666	ibsE	ECK4481	C1P617
b3052	hldE	ECK3042	P76658
b3053	glnE	ECK3043	P30870
b3054	ygiF	ECK3044	P30871
b3055	ygiM	ECK3045	P0ADT8
b3056	cca	ECK3046	P06961
b3057	bacA	ECK3047	P60932
b3058	folB	ECK3048	P0AC16
b3059	plsY	ECK3049	P60782
b3060	ttdR	ECK3050	P45463
b3061	ttdA	ECK3051	P05847
b3062	ttdB	ECK3052	P0AC35
b3063	ttdT	ECK3053	P39414
b3064	tsaD	ECK3054	P05852
b3065	rpsU	ECK3055	P68679
b3066	dnaG	ECK3056	P0ABS5
b3067	rpoD	ECK3057	P00579
b3068	mug	ECK3058	P0A9H1
b3070	yqjH	ECK3060	Q46871
b3071	yqjI	ECK3061	P64588
b3072	aer	ECK3062	P50466
b3073	patA	ECK3063	P42588
b3074	ygjH	ECK3064	P42589
b3075	ebgR	ECK3065	P06846
b3076	ebgA	ECK3066	P06864
b3077	ebgC	ECK3067	P0AC73
b3078	ygjI	ECK3068	P42590
b3079	ygjJ	ECK3069	P42591
b3080	ygjK	ECK3070	P42592
b3081	fadH	ECK3071	P42593
b3082	higA	ECK3072	P67701
b3083	higB	ECK3073	P64578
b3084	rlmG	ECK3074	P42596
b3085	ygjP	ECK3075	P42597
b3086	ygjQ	ECK3076	P42598
b3087	ygjR	ECK3077	P42599
b3088	alx	ECK3079	P42601
b3089	sstT	ECK3080	P0AGE4
b3090	ygjV	ECK3081	P42603
b3091	uxaA	ECK3082	P42604
b3092	uxaC	ECK3083	P0A8G3
b3093	exuT	ECK3084	P0AA78
b3094	exuR	ECK3085	P0ACL2
